Sensor Esq45,Sensor Esq30,Sensor Frente,Sensor Dir30,Sensor Dir45,Ângulo entre o robô e o destino (rads. -PI a +PI),Saída Vel. Linear(m/s),Saída Vel. Angular   (rad/s.horário=negativo)
0.08,0.02,0.14,0.12,0.18,-3.0 ,0.07,0.97
0.08,0.18,0.03,0.12,0.14,-2.9,0.09,0.94
0.02,0.11,0.04,0.15,0.14,-2.8,0.11,0.91
0.18,0.17,0.01,0.02,0.04,-2.7,0.13,0.88
0.02,0.16,0.1,0.08,0.19,-2.6,0.15,0.85
0.12,0.06,0.08,0.2,0.11,-2.5,0.17,0.82
0.04,0.1,0.0 ,0.17,0.11,-2.4,0.19,0.79
0.02,0.08,0.04,0.04,0.12,-2.3,0.21,0.76
0.06,0.02,0.17,0.13,0.2,-2.2,0.23,0.73
0.09,0.03,0.09,0.19,0.06,-2.1,0.25,0.7
0.16,0.02,0.17,0.09,0.12,-2.0 ,0.38,0.67
0.01,0.15,0.14,0.02,0.19,-1.9,0.41,0.64
0.16,0.17,0.2,0.18,0.2,-1.8,0.44,0.61
0.1,0.19,0.17,0.12,0.1,-1.7,0.47,0.58
0.08,0.15,0.12,0.07,0.02,-1.6,0.5,0.55
0.14,0.04,0.08,0.15,0.19,-1.5,0.53,0.52
0.09,0.09,0.19,0.03,0.14,-1.4,0.56,0.49
0.12,0.09,0.08,0.16,0.01,-1.3,0.59,0.46
0.02,0.16,0.18,0.16,0.05,-1.2,0.62,0.43
0.01,0.12,0.17,0.02,0.12,-1.1,0.65,0.4
0.07,0.06,0.11,0.02,0.12,-1.0,0.68,0.37
0.05,0.07,0.03,0.11,0.1,-0.9,0.71,0.34
0.04,0.03,0.15,0.11,0.01,-0.8,0.74,0.31
0.16,0.13,0.03,0.07,0.08,-0.7,0.77,0.28
0.17,0.01,0.13,0.1,0.18,-0.6,0.8,0.25
0.17,0.11,0.17,0.11,0.01,-0.5,0.83,0.22
0.04,0.11,0.17,0.12,0.13,-0.4,0.86,0.19
0.08,0.15,0.12,0.08,0.07,-0.3,0.89,0.16
0.06,0.1,0.2,0.12,0.12,-0.2,0.92,0.13
0.17,0.03,0.0 ,0.14,0.19,-0.1,0.95,0.1
0.07,0.0 ,0.12,0.05,0.2,0.0 ,1.0,1.0 
0.02,0.19,0.12,0.04,0.05,0.1,0.95,-0.1
0.16,0.05,0.09,0.17,0.15,0.2,0.92,-0.13
0.06,0.08,0.02,0.08,0.14,0.3,0.89,-0.16
0.13,0.09,0.19,0.1,0.09,0.4,0.86,-0.19
0.2,0.14,0.16,0.16,0.02,0.5,0.83,-0.22
0.19,0.07,0.05,0.18,0.01,0.6,0.8,-0.25
0.13,0.11,0.02,0.06,0.18,0.7,0.77,-0.28
0.15,0.12,0.09,0.07,0.18,0.8,0.74,-0.31
0.06,0.19,0.12,0.03,0.13,0.9,0.71,-0.34
0.12,0.09,0.12,0.09,0.16,1.0 ,0.68,-0.37
0.17,0.1,0.01,0.01,0.13,1.1,0.65,-0.4
0.06,0.05,0.12,0.1,0.09,1.2,0.62,-0.43
0.12,0.09,0.05,0.12,0.11,1.3,0.59,-0.46
0.05,0.13,0.12,0.03,0.09,1.4,0.56,-0.49
0.19,0.05,0.07,0.04,0.03,1.5,0.53,-0.52
0.08,0.16,0.16,0.01,0.2,1.6,0.5,-0.55
0.14,0.06,0.17,0.18,0.11,1.7,0.47,-0.58
0.13,0.01,0.07,0.11,0.15,1.8,0.44,-0.61
0.15,0.08,0.16,0.09,0.1,1.9,0.41,-0.64
0.18,0.2,0.09,0.11,0.16,2.0 ,0.38,-0.67
0.14,0.2,0.17,0.13,0.03,2.1,0.25,-0.7
0.04,0.09,0.17,0.01,0.12,2.2,0.23,-0.73
0.01,0.11,0.18,0.15,0.17,2.3,0.21,-0.76
0.06,0.19,0.11,0.12,0.07,2.4,0.19,-0.79
0.18,0.0 ,0.01,0.17,0.2,2.5,0.17,-0.82
0.13,0.2,0.06,0.13,0.18,2.6,0.15,-0.85
0.12,0.08,0.14,0.1,0.11,2.7,0.13,-0.88
0.11,0.1,0.18,0.03,0.01,2.8,0.11,-0.91
0.03,0.04,0.01,0.08,0.15,2.9,0.09,-0.94
0.15,0.2,0.14,0.04,0.07,3.0 ,0.07,-0.97
0.11,0.07,0.11,0.18,0.15,3.1,0.05,-1.0 
Com obstáculo próximo. e ângulo de destino “variando de -PI a +PI”,,,,,,,
0.07,0.01,0.16,0.01,0.13,0.23,0.98,-0.21
0.49,0.04,0.1,0.08,0.15,0.24,0.78,-0.36
0.13,0.58,0.17,0.12,0.03,0.26,0.48,-0.68
0.08,0.1,0.58,0.09,0.01,0.24,0.7,0.34
0.11,0.05,0.11,0.45,0.05,0.25,1.0 ,0.1
0.02,0.11,0.06,0.19,0.46,0.21,0.72,-0.45
0.99,0.01,0.08,0.19,0.06,0.3,0.51,-0.55
0.1,0.82,0.18,0.02,0.14,0.25,0.3,-0.84
0.06,0.08,0.94,0.14,0.13,0.23,0.58,0.65
0.11,0.05,0.13,0.97,0.06,0.26,0.75,0.48
0.08,0.03,0.14,0.02,0.94,0.24,0.88,-0.45
0.52,0.52,0.11,0.18,0.11,0.26,0.55,-0.69
0.03,0.54,0.44,0.1,0.19,0.21,0.23,-0.94
0.05,0.54,0.53,0.52,0.01,0.22,0.56,0.62
0.07,0.1,0.55,0.45,0.09,0.24,0.84,0.43
0.08,0.18,0.0 ,0.45,0.46,0.24,0.41,-0.64
0.87,0.98,0.11,0.07,0.08,0.23,0.38,-0.68
0.17,0.94,0.93,0.0 ,0.1,0.29,0.21,-0.8
0.12,0.81,0.85,1.0 ,0.15,0.26,0.36,0.79
0.0 ,0.01,0.83,0.97,0.13,0.2,0.44,0.59
0.04,0.02,0.01,0.98,0.86,0.22,0.68,-0.55
0.84,0.46,0.19,0.17,0.05,0.22,0.44,-0.61
0.52,0.83,0.56,0.12,0.15,0.26,0.15,-0.96
0.08,0.43,0.88,0.48,0.04,0.24,0.46,0.76
0.13,0.01,0.44,0.91,0.43,0.26,0.66,0.4
0.18,0.07,0.08,0.53,0.86,0.29,0.61,0.52
,,,,,,,
0.15,0.07,0.01,0.06,0.19,-0.33,0.94,-0.22
0.49,0.15,0.07,0.16,0.09,-0.36,0.77,-0.34
0.2,0.59,0.13,0.15,0.09,-0.3,0.45,-0.66
0.1,0.1,0.47,0.2,0.05,-0.35,0.8,0.43
0.19,0.04,0.15,0.42,0.06,-0.31,0.94,0.22
0.14,0.16,0.01,0.03,0.43,-0.33,0.77,-0.41
0.93,0.1,0.14,0.15,0.02,-0.34,0.59,-0.51
0.02,0.88,0.18,0.18,0.1,-0.39,0.25,-0.88
0.11,0.12,0.92,0.05,0.19,-0.34,0.58,0.68
0.08,0.19,0.17,0.99,0.11,-0.36,0.76,0.42
0.04,0.17,0.06,0.08,0.8,-0.38,0.83,-0.32
0.5,0.57,0.11,0.17,0.08,-0.35,0.52,-0.62
0.15,0.44,0.57,0.16,0.13,-0.33,0.25,-0.95
0.09,0.51,0.59,0.5,0.03,-0.36,0.51,0.7
0.03,0.12,0.44,0.57,0.1,-0.38,0.84,0.49
0.14,0.18,0.14,0.59,0.48,-0.33,0.5,-0.59
0.9,0.86,0.11,0.18,0.05,-0.35,0.31,-0.8
0.18,0.82,0.98,0.16,0.05,-0.31,0.25,-0.82
0.13,0.99,0.87,0.93,0.06,-0.33,0.37,0.75
0.05,0.14,0.95,0.96,0.2,-0.38,0.43,0.57
0.09,0.01,0.11,0.99,0.97,-0.35,0.66,-0.55
0.81,0.41,0.01,0.14,0.2,-0.39,0.48,-0.66
0.42,0.92,0.59,0.09,0.15,-0.39,0.16,-1.0
0.15,0.59,0.89,0.59,0.17,-0.32,0.49,0.71
0.0 ,0.07,0.42,0.86,0.46,-0.4,0.69,0.47
0.15,0.2,0.18,0.49,0.92,-0.32,0.67,0.57
,,,,,,,
0.08,0.04,0.16,0.18,0.09,0.54,0.97,-0.24
0.49,0.03,0.01,0.01,0.17,0.54,0.76,-0.43
0.06,0.5,0.2,0.19,0.09,0.53,0.48,-0.8
0.13,0.06,0.57,0.08,0.16,0.56,0.8,0.46
0.05,0.08,0.08,0.56,0.04,0.52,0.9,0.3
0.08,0.13,0.1,0.03,0.44,0.54,0.75,-0.42
0.83,0.18,0.07,0.08,0.16,0.51,0.58,-0.63
0.11,0.99,0.12,0.19,0.09,0.55,0.26,-0.87
0.11,0.16,0.86,0.13,0.06,0.55,0.59,0.63
0.14,0.15,0.19,0.97,0.12,0.57,0.76,0.32
0.0 ,0.11,0.09,0.06,0.99,0.5,0.84,-0.37
0.48,0.53,0.14,0.02,0.03,0.54,0.56,-0.61
0.18,0.46,0.47,0.04,0.05,0.59,0.22,-0.85
0.11,0.59,0.54,0.47,0.1,0.56,0.5,0.56
0.11,0.04,0.43,0.58,0.13,0.55,0.87,0.42
0.03,0.19,0.04,0.57,0.53,0.51,0.42,-0.59
0.9,0.95,0.1,0.12,0.02,0.55,0.31,-0.64
0.15,0.86,0.91,0.11,0.0 ,0.57,0.25,-0.99
0.16,0.94,0.98,0.95,0.09,0.58,0.3,0.61
0.13,0.02,0.83,0.96,0.2,0.56,0.43,0.64
0.16,0.09,0.18,0.87,0.92,0.58,0.68,-0.49
0.93,0.48,0.03,0.13,0.01,0.57,0.43,-0.79
0.53,0.98,0.59,0.03,0.07,0.57,0.12,-1.08
0.19,0.57,0.87,0.58,0.09,0.6,0.48,0.61
0.11,0.14,0.52,0.94,0.41,0.55,0.67,0.5
0.11,0.16,0.05,0.47,0.84,0.55,0.64,0.53
,,,,,,,
0.01,0.09,0.13,0.1,0.09,-0.79,0.97,-0.21
0.41,0.15,0.09,0.14,0.14,-0.8,0.74,-0.46
0.12,0.52,0.14,0.12,0.09,-0.74,0.5,-0.74
0.15,0.0 ,0.51,0.05,0.2,-0.72,0.75,0.3
0.11,0.0 ,0.13,0.51,0.01,-0.75,0.99,0.14
0.03,0.19,0.0 ,0.04,0.53,-0.79,0.75,-0.41
0.82,0.18,0.1,0.07,0.09,-0.79,0.56,-0.61
0.11,0.88,0.18,0.13,0.16,-0.74,0.24,-0.83
0.11,0.1,0.9,0.14,0.04,-0.74,0.57,0.59
0.12,0.04,0.13,0.85,0.07,-0.74,0.7,0.44
0.01,0.0 ,0.19,0.11,0.96,-0.8,0.85,-0.45
0.58,0.43,0.1,0.18,0.07,-0.71,0.57,-0.58
0.02,0.5,0.4,0.11,0.06,-0.79,0.23,-0.8
0.15,0.57,0.43,0.51,0.17,-0.73,0.51,0.65
0.12,0.09,0.47,0.59,0.17,-0.74,0.84,0.48
0.1,0.12,0.15,0.41,0.43,-0.75,0.4,-0.56
0.97,0.8,0.06,0.15,0.03,-0.72,0.33,-0.8
0.14,0.89,1.0 ,0.11,0.06,-0.73,0.29,-0.96
0.03,0.99,0.9,0.88,0.17,-0.78,0.3,0.75
0.04,0.13,0.99,0.87,0.04,-0.78,0.47,0.58
0.2,0.17,0.05,0.96,0.85,-0.7,0.64,-0.51
0.91,0.41,0.09,0.07,0.11,-0.74,0.47,-0.73
0.53,0.95,0.41,0.01,0.11,-0.73,0.14,-1.07
0.13,0.48,0.85,0.4,0.1,-0.74,0.43,0.69
0.19,0.1,0.48,0.83,0.42,-0.71,0.63,0.5
0.03,0.16,0.09,0.52,0.85,-0.79,0.69,0.56
,,,,,,,
0.09,0.16,0.08,0.0 ,0.0 ,0.94,0.92,-0.23
0.57,0.13,0.15,0.12,0.05,0.99,0.77,-0.34
0.17,0.42,0.12,0.07,0.1,0.98,0.46,-0.62
0.11,0.18,0.52,0.15,0.17,0.95,0.79,0.32
0.01,0.1,0.04,0.58,0.15,0.91,0.96,0.3
0.09,0.16,0.07,0.16,0.54,0.95,0.75,-0.38
0.95,0.13,0.08,0.16,0.14,0.97,0.51,-0.7
0.07,0.84,0.09,0.18,0.13,0.94,0.21,-0.93
0.1,0.19,0.98,0.14,0.17,0.95,0.56,0.59
0.06,0.0 ,0.17,0.95,0.2,0.93,0.77,0.31
0.19,0.01,0.17,0.06,0.92,1.0 ,0.86,-0.49
0.47,0.48,0.17,0.08,0.09,0.93,0.58,-0.56
0.09,0.48,0.54,0.19,0.16,0.94,0.24,-0.94
0.02,0.42,0.59,0.49,0.17,0.91,0.56,0.62
0.19,0.1,0.59,0.46,0.15,1.0 ,0.9,0.37
0.03,0.05,0.17,0.6,0.41,0.91,0.47,-0.62
0.89,0.82,0.09,0.07,0.09,0.94,0.34,-0.76
0.04,0.85,0.8,0.12,0.14,0.92,0.29,-0.87
0.09,0.81,0.82,0.94,0.11,0.94,0.36,0.63
0.19,0.02,0.99,0.86,0.02,0.99,0.49,0.61
0.02,0.14,0.2,0.82,0.84,0.91,0.6,-0.57
0.96,0.48,0.01,0.06,0.2,0.98,0.48,-0.78
0.42,0.87,0.48,0.15,0.15,0.91,0.14,-1.04
0.02,0.51,0.86,0.56,0.04,0.91,0.45,0.67
0.11,0.03,0.55,1.0 ,0.4,0.95,0.63,0.5
0.02,0.15,0.04,0.56,0.98,0.91,0.64,0.53
,,,,,,,
0.18,0.05,0.19,0.15,0.16,-1.11,0.96,-0.21
0.58,0.1,0.12,0.12,0.16,-1.11,0.79,-0.45
0.08,0.5,0.14,0.12,0.08,-1.16,0.5,-0.68
0.03,0.17,0.44,0.12,0.2,-1.18,0.74,0.4
0.1,0.09,0.04,0.49,0.06,-1.15,0.91,0.11
0.07,0.11,0.18,0.11,0.59,-1.17,0.77,-0.49
0.91,0.05,0.06,0.09,0.06,-1.14,0.6,-0.59
0.19,0.85,0.03,0.02,0.15,-1.11,0.21,-0.89
0.08,0.07,0.84,0.14,0.17,-1.16,0.51,0.64
0.04,0.16,0.18,0.82,0.02,-1.18,0.78,0.44
0.17,0.06,0.14,0.19,0.88,-1.12,0.9,-0.35
0.44,0.4,0.14,0.12,0.06,-1.18,0.5,-0.56
0.09,0.47,0.51,0.02,0.16,-1.16,0.29,-0.83
0.07,0.42,0.58,0.47,0.09,-1.17,0.6,0.61
0.16,0.16,0.44,0.49,0.15,-1.12,0.84,0.36
0.04,0.0 ,0.16,0.49,0.48,-1.18,0.41,-0.67
0.89,0.84,0.09,0.1,0.08,-1.16,0.31,-0.63
0.06,0.95,0.83,0.14,0.2,-1.17,0.28,-0.81
0.15,0.95,0.94,0.91,0.14,-1.13,0.39,0.66
0.17,0.17,0.93,0.91,0.07,-1.12,0.45,0.63
0.19,0.08,0.18,0.85,0.84,-1.1,0.64,-0.43
0.84,0.44,0.02,0.08,0.19,-1.18,0.49,-0.61
0.5,0.89,0.47,0.09,0.16,-1.15,0.11,-1.08
0.19,0.56,0.89,0.42,0.19,-1.11,0.43,0.76
0.01,0.03,0.48,0.96,0.54,-1.2,0.68,0.49
0.16,0.12,0.1,0.43,0.98,-1.12,0.6,0.43
,,,,,,,
0.09,0.1,0.05,0.02,0.09,1.35,0.96,-0.25
0.57,0.04,0.12,0.2,0.01,1.38,0.74,-0.39
0.05,0.49,0.18,0.1,0.14,1.33,0.47,-0.65
0.17,0.07,0.4,0.02,0.09,1.38,0.75,0.49
0.11,0.14,0.0 ,0.43,0.16,1.35,0.92,0.13
0.07,0.14,0.03,0.17,0.46,1.33,0.76,-0.4
0.93,0.18,0.15,0.18,0.17,1.36,0.53,-0.6
0.04,0.87,0.04,0.04,0.08,1.32,0.22,-0.9
0.19,0.13,0.86,0.02,0.09,1.39,0.57,0.51
0.09,0.2,0.03,0.85,0.18,1.34,0.79,0.31
0.09,0.17,0.14,0.15,0.99,1.35,0.84,-0.43
0.5,0.43,0.14,0.16,0.04,1.35,0.58,-0.67
0.19,0.48,0.43,0.07,0.13,1.4,0.26,-0.97
0.03,0.52,0.42,0.56,0.0,1.32,0.59,0.69
0.07,0.11,0.45,0.47,0.07,1.33,0.85,0.33
0.12,0.19,0.01,0.45,0.48,1.36,0.4,-0.66
0.86,0.96,0.15,0.13,0.08,1.33,0.35,-0.75
0.19,0.89,0.98,0.17,0.03,1.4,0.22,-0.88
0.06,0.92,0.94,0.87,0.0,1.33,0.34,0.65
0.06,0.07,1.0 ,0.82,0.1,1.33,0.5,0.5
0.1,0.13,0.19,0.87,0.97,1.35,0.66,-0.45
0.93,0.4,0.09,0.06,0.15,1.36,0.45,-0.64
0.49,0.85,0.54,0.02,0.05,1.34,0.16,-1.02
0.08,0.46,0.85,0.44,0.06,1.34,0.45,0.64
0.19,0.13,0.56,0.96,0.46,1.39,0.61,0.54
0.14,0.01,0.04,0.55,0.97,1.37,0.66,0.6
,,,,,,,
0.06,0.12,0.11,0.17,0.15,-1.52,0.91,-0.11
0.44,0.01,0.09,0.13,0.19,-1.53,0.8,-0.37
0.06,0.46,0.05,0.05,0.09,-1.52,0.5,-0.65
0.04,0.16,0.44,0.05,0.2,-1.53,0.79,0.37
0.17,0.15,0.03,0.47,0.13,-1.47,0.92,0.29
0.04,0.03,0.01,0.0 ,0.44,-1.53,0.77,-0.41
0.89,0.06,0.15,0.06,0.04,-1.5,0.57,-0.61
0.2,0.84,0.06,0.11,0.16,-1.45,0.3,-0.83
0.17,0.18,0.95,0.2,0.1,-1.46,0.6,0.53
0.05,0.03,0.13,0.93,0.1,-1.53,0.71,0.36
0.16,0.11,0.14,0.15,0.83,-1.47,0.86,-0.5
0.49,0.51,0.11,0.14,0.03,-1.5,0.6,-0.58
0.12,0.57,0.5,0.06,0.13,-1.49,0.23,-0.93
0.04,0.46,0.43,0.44,0.02,-1.53,0.57,0.66
0.09,0.02,0.46,0.57,0.13,-1.51,0.87,0.35
0.13,0.16,0.09,0.47,0.47,-1.48,0.43,-0.57
0.99,0.84,0.05,0.17,0.13,-1.46,0.38,-0.77
0.14,0.98,0.87,0.06,0.13,-1.48,0.23,-0.96
0.15,0.82,0.92,0.92,0.12,-1.47,0.34,0.61
0.06,0.14,0.91,0.89,0.05,-1.52,0.46,0.62
0.13,0.15,0.19,0.85,0.91,-1.49,0.61,-0.45
0.95,0.56,0.06,0.03,0.08,-1.48,0.45,-0.67
0.59,0.83,0.47,0.09,0.04,-1.46,0.19,-0.93
0.17,0.58,0.93,0.56,0.02,-1.46,0.42,0.71
0.13,0.11,0.56,0.98,0.59,-1.49,0.63,0.47
0.02,0.1,0.17,0.59,0.87,-1.54,0.69,0.48
